Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
DMTN	"DMT, EPB49"	ENSG00000158856	"Dematin actin binding protein"	Q08495	8	22048995-22082527	"Plasma proteins, Predicted intracellular proteins"		"Actin capping, Actin-binding"	"Tumor suppressor"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"brain: 330.7"	"Cell type enhanced"	"Detected in many"		"Erythroid cells: 125.3;Excitatory neurons: 44.2;Lymphatic endothelial cells: 68.0"	"Low cell type specificity"	"Detected in all"			"Cancer enhanced"	"Detected in all"		"Kidney Chromophobe (TCGA): 171.3"	"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in many"	8	"gdT-cell: 1.7;MAIT T-cell: 1.7;memory CD4 T-cell: 3.7;memory CD8 T-cell: 1.6;naive CD4 T-cell: 1.5;naive CD8 T-cell: 1.5;neutrophil: 1.1;T-reg: 3.2"	"Group enriched"	"Detected in many"	9	"granulocytes: 1.1;T-cells: 3.7"	"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Heart muscle - Cardiomyocytes, Skin - Keratinocyte (other), Spleen - Erythrocytes, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA024290, HPA058487"	Uncertain						NA	NA		3400000	"Cluster 33: Non-specific - ATP binding"	"Cluster 61: Brain - Neuronal signaling"	"Cluster 53: Neurons - Mixed function"	"Cluster 47: Leukemia - Hemostasis"	"Cluster 57: Platelets - Hemostasis"	17			"HPA024290: AB_1847601, HPA058487: "	"potential prognostic favorable (5.75e-4)"	"unprognostic (2.37e-2)"		"unprognostic (7.29e-2)"	"unprognostic (1.28e-3)"	"unprognostic (1.37e-3)"	"unprognostic (5.56e-3)"	"unprognostic (6.61e-3)"	"unprognostic (1.57e-1)"	"unprognostic (3.73e-2)"	"potential prognostic favorable (8.44e-8)"	"unprognostic (3.49e-3)"	"unprognostic (1.13e-2)"	"unprognostic (1.25e-2)"		"unprognostic (3.18e-2)"	"unprognostic (1.60e-1)"	"unprognostic (3.53e-1)"	"unprognostic (4.88e-2)"	"unprognostic (8.24e-2)"	"unprognostic (4.55e-2)"	"unprognostic (2.66e-2)"	"unprognostic (1.77e-1)"	"unprognostic (2.54e-1)"	"unprognostic (6.79e-2)"	"unprognostic (1.89e-1)"	"unprognostic (2.49e-2)"	"unprognostic (5.30e-3)"	"unprognostic (1.74e-1)"	"unprognostic (2.17e-1)"	"unprognostic (7.22e-2)"
DMXL2	"DFNA71, KIAA0856, RC3"	ENSG00000104093	"Dmx like 2"	Q8TDJ6	15	51447711-51622833	"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"			"Deafness, Diabetes mellitus, Disease variant, Epilepsy, Hypogonadotropic hypogonadism, Neuropathy, Non-syndromic deafness"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 134.2;Inhibitory neurons: 117.8;Kupffer cells: 84.3;Macrophages: 102.6;monocytes: 175.0;Oligodendrocyte precursor cells: 90.6"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in some"	4	"classical monocyte: 2.8;intermediate monocyte: 2.2;neutrophil: 2.2;non-classical monocyte: 2.7"	"Group enriched"	"Detected in many"	4	"granulocytes: 2.2;monocytes: 2.8"	"Low cancer specificity"	"Detected in all"			"Testis - Spermatocytes, Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA039375	Approved						NA	NA			"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 28: Neuronal - Transcription"	"Cluster 23: Choroid plexus - Mixed function"	"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 29: Monocytes - Innate immune response"	13			"HPA039375: AB_10673610"	"unprognostic (1.61e-2)"	"unprognostic (7.89e-2)"	"unprognostic (9.19e-2)"	"unprognostic (3.70e-2)"	"unprognostic (5.77e-2)"	"unprognostic (1.82e-1)"	"unprognostic (1.55e-1)"	"unprognostic (1.48e-2)"	"unprognostic (3.71e-1)"	"unprognostic (2.73e-3)"	"unprognostic (4.48e-3)"	"unprognostic (4.53e-2)"	"unprognostic (1.92e-1)"		"unprognostic (1.08e-1)"	"unprognostic (7.57e-2)"	"unprognostic (2.19e-1)"	"unprognostic (1.07e-1)"	"unprognostic (3.86e-1)"	"unprognostic (4.84e-3)"	"unprognostic (6.16e-3)"	"unprognostic (3.90e-1)"	"unprognostic (1.58e-3)"	"unprognostic (1.23e-1)"	"unprognostic (4.77e-2)"	"unprognostic (1.54e-2)"	"unprognostic (1.83e-1)"	"unprognostic (1.89e-1)"	"unprognostic (1.44e-1)"	"unprognostic (2.22e-2)"	"unprognostic (1.06e-2)"
DNAAF1	"CILD13, DAU1, FLJ25330, LRRC50, ODA7, swt"	ENSG00000154099	"Dynein axonemal assembly factor 1"	Q8NEP3	16	84145287-84178767	"Disease related genes, Human disease related genes, Predicted intracellular proteins"			"Ciliopathy, Disease variant, Kartagener syndrome, Primary ciliary dyskinesia"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"choroid plexus: 23.7;fallopian tube: 22.0;testis: 43.9"	"Cell type enhanced"	"Detected in many"		"Ciliated cells: 431.7;Early spermatids: 140.2;monocytes: 589.7;Plasma cells: 225.0;Spermatocytes: 98.4"	"Cell type enriched"	"Detected in many"	6	"ependymal cell: 686.0"	"Cancer enhanced"	"Detected in many"		"Uterine Corpus Endometrial Carcinoma (TCGA): 38.8"	"Group enriched"	"Detected in many"	6	"choroid plexus: 18.4;medulla oblongata: 7.5;midbrain: 13.3;pons: 6.6;spinal cord: 4.6"	"Immune cell enhanced"	"Detected in some"		"neutrophil: 2.0"	"Low lineage specificity"	"Detected in single"			"Cancer enhanced"	"Detected in single"		"Myeloma: 1.0"	"Breast - Breast glandular cells, Lung - Respiratory ciliated cells, Testis - Early spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			HPA074239	Enhanced						NA	NA			"Cluster 32: Basophils - Transcription"	"Cluster 8: Ciliated cells - Cilium organization"	"Cluster 3: Choroid plexus - Cilium"	"Cluster 35: RS4;11 - Unknown function"	"Cluster 42: Ciliated cells - Cilium assembly"	5			"HPA074239: AB_2732250"	"unprognostic (1.79e-1)"	"unprognostic (5.97e-2)"		"unprognostic (8.31e-2)"			"unprognostic (7.80e-3)"	"unprognostic (2.73e-2)"	"unprognostic (1.40e-2)"	"unprognostic (4.81e-1)"			"unprognostic (3.09e-3)"	"unprognostic (4.32e-2)"	"unprognostic (8.35e-3)"	"unprognostic (3.31e-1)"		"unprognostic (1.70e-2)"			"unprognostic (2.91e-3)"	"unprognostic (1.74e-2)"	"potential prognostic unfavorable (4.78e-4)"	"unprognostic (3.97e-2)"			"unprognostic (1.64e-1)"		"unprognostic (1.34e-1)"	"unprognostic (1.34e-3)"	"unprognostic (5.59e-2)"
DNAAF11	"CILD19, LRRC6, LRTP, tilB, TSLRP"	ENSG00000129295	"Dynein axonemal assembly factor 11"	Q86X45	8	132570416-132675592	"Disease related genes, Human disease related genes, Predicted intracellular proteins"			"Ciliopathy, Disease variant, Kartagener syndrome, Primary ciliary dyskinesia"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"choroid plexus: 47.9;testis: 25.4"	"Cell type enhanced"	"Detected in many"		"Ciliated cells: 107.3;Early spermatids: 300.6;Excitatory neurons: 83.0;Inhibitory neurons: 64.4;Late spermatids: 60.2;Spermatocytes: 87.4"	"Cell type enhanced"	"Detected in all"		"ependymal cell: 485.4"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in single"		"neutrophil: 2.5"	"Lineage enriched"	"Detected in single"	8	"granulocytes: 2.5"	"Cancer enhanced"	"Detected in many"		"Adrenocortical cancer: 8.9"	"Lung - Respiratory ciliated cells, Testis - Early spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"HPA028043, HPA028058"	Approved		Approved	"Mid piece,Principal piece"			NA	NA			"Cluster 20: Non-specific - DNA binding"	"Cluster 8: Ciliated cells - Cilium organization"	"Cluster 17: Choroid plexus - Cilium"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 42: Ciliated cells - Cilium assembly"	9	"Mid piece, Principal piece"		"HPA028043: , HPA028058: AB_1853337"	"potential prognostic favorable (9.58e-5)"	"unprognostic (1.67e-2)"	"unprognostic (5.34e-2)"	"unprognostic (1.07e-1)"	"unprognostic (2.40e-1)"	"unprognostic (2.58e-2)"	"unprognostic (3.83e-2)"	"unprognostic (8.45e-2)"	"unprognostic (3.42e-2)"	"unprognostic (1.68e-1)"	"unprognostic (2.16e-1)"	"unprognostic (1.23e-1)"	"unprognostic (3.93e-3)"		"unprognostic (1.94e-1)"	"unprognostic (3.75e-2)"	"unprognostic (1.24e-1)"	"unprognostic (1.19e-1)"	"unprognostic (6.73e-2)"	"unprognostic (1.27e-1)"	"unprognostic (2.04e-1)"	"unprognostic (1.11e-1)"	"unprognostic (3.91e-3)"	"unprognostic (1.61e-1)"	"unprognostic (1.02e-1)"	"unprognostic (1.27e-1)"	"unprognostic (4.49e-2)"	"unprognostic (2.96e-2)"	"unprognostic (3.82e-2)"	"potential prognostic unfavorable (5.27e-4)"	"unprognostic (2.15e-1)"
DNAJB5	Hsc40	ENSG00000137094	"DnaJ heat shock protein family (Hsp40) member B5"	O75953	9	34989641-34998900	"Predicted intracellular proteins"		Chaperone		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"skeletal muscle: 158.7;tongue: 209.7"	"Group enriched"	"Detected in many"	4	"Cardiomyocytes: 49.4;Skeletal myocytes: 82.9"	"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in some"	5	"myeloid DC: 5.5;neutrophil: 5.2"	"Group enriched"	"Detected in many"	5	"dendritic cells: 5.5;granulocytes: 5.2"	"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Colon - Smooth muscle cells, Lung - Smooth muscle cells, Prostate - Smooth muscle cells, Spleen - Fibroblast_1, Testis - Sertoli cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA023818, HPA050794"	Approved		Approved	Nucleoplasm,Cytosol			NA	NA			"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 12: Heart muscle - Cardiac muscle contraction"	"Cluster 35: Non-specific - DNA binding"	"Cluster 72: Neuronal - Signal transduction"	"Cluster 2: Skeletal myocytes - Muscle contraction"	23	Nucleoplasm	Cytosol	"HPA023818: AB_1847793, HPA050794: AB_2681241"	"unprognostic (2.65e-1)"	"unprognostic (5.93e-3)"	"unprognostic (9.44e-2)"	"unprognostic (6.99e-2)"	"unprognostic (2.31e-2)"	"unprognostic (1.47e-2)"	"unprognostic (8.05e-2)"	"unprognostic (1.95e-3)"	"unprognostic (1.15e-2)"	"unprognostic (1.86e-2)"	"potential prognostic favorable (5.65e-4)"	"unprognostic (1.02e-1)"	"unprognostic (1.35e-2)"	"unprognostic (2.74e-1)"	"unprognostic (4.59e-2)"	"unprognostic (9.55e-2)"	"unprognostic (7.77e-2)"	"unprognostic (6.23e-2)"	"unprognostic (1.10e-1)"	"unprognostic (5.48e-2)"	"unprognostic (3.87e-1)"	"unprognostic (7.62e-3)"	"unprognostic (4.00e-2)"	"unprognostic (6.15e-2)"	"unprognostic (3.56e-2)"	"unprognostic (5.09e-2)"	"unprognostic (2.69e-1)"	"unprognostic (2.73e-3)"	"unprognostic (1.41e-1)"	"unprognostic (5.54e-2)"	"unprognostic (2.04e-2)"
DNAJC25-GNG10		ENSG00000244115	"DNAJC25-GNG10 readthrough"		9	111631386-111670229	"Predicted intracellular proteins"				"Evidence at transcript level"	"Evidence at transcript level"			"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Ductal cells: 8.1;Erythroid cells: 8.0;Exocrine glandular cells: 8.2;Pancreatic endocrine cells: 13.6;Paneth cells: 14.5"					"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in all"	8	"neutrophil: 73.4"	"Lineage enriched"	"Detected in all"	11	"granulocytes: 73.4"	"Low cancer specificity"	"Detected in all"																			NA	NA			"Cluster 21: Neutrophils - Unknown function"	"Cluster 5: Brain & Testis - Signal transduction"	"Cluster 21: Non-specific - Metabolism"	"Cluster 43: Non-specific - Basic cellular processes"	"Cluster 49: Non-specific - Transcription"					"potential prognostic unfavorable (9.89e-4)"	"unprognostic (1.53e-1)"		"unprognostic (4.35e-2)"	"unprognostic (8.75e-2)"	"unprognostic (1.96e-1)"	"unprognostic (1.31e-2)"		"potential prognostic unfavorable (9.11e-5)"	"unprognostic (1.67e-2)"	"potential prognostic favorable (2.64e-4)"	"unprognostic (5.93e-2)"	"potential prognostic unfavorable (1.37e-4)"	"unprognostic (3.11e-2)"		"unprognostic (2.01e-3)"	"unprognostic (6.78e-2)"	"unprognostic (1.17e-1)"	"unprognostic (1.77e-1)"	"unprognostic (1.41e-1)"		"unprognostic (7.52e-2)"		"unprognostic (7.29e-2)"	"unprognostic (3.95e-1)"	"unprognostic (1.80e-1)"	"unprognostic (4.18e-2)"	"unprognostic (6.87e-2)"	"unprognostic (1.29e-1)"	"unprognostic (1.35e-1)"	"unprognostic (2.39e-1)"
DNTTIP1	"C20orf167, dJ447F3.4, Tdif1"	ENSG00000101457	"Deoxynucleotidyltransferase terminal interacting protein 1"	Q9H147	20	45791954-45811427	"Plasma proteins, Predicted intracellular proteins"	"Transcription, Transcription regulation"	DNA-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in all"		"neutrophil: 125.6"	"Group enriched"	"Detected in all"	6	"dendritic cells: 43.4;granulocytes: 125.6;monocytes: 51.0"	"Low cancer specificity"	"Detected in all"			"Adipose visceral - Adipose progenitor cells, Spleen - Neutrophils, Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA045496			Supported	"Nucleoplasm,Nucleoli,Nucleoli rim,Mitotic chromosome"			Yes	No			"Cluster 21: Neutrophils - Unknown function"	"Cluster 19: Non-specific - Basic cellular processes"	"Cluster 21: Non-specific - Metabolism"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 39: Non-specific - Basic cellular processes"	34	"Nucleoli, Nucleoli rim, Mitotic chromosome"	Nucleoplasm	"HPA045496: "	"unprognostic (1.17e-1)"	"unprognostic (2.80e-1)"	"unprognostic (2.29e-1)"	"unprognostic (3.80e-1)"	"unprognostic (4.45e-2)"	"unprognostic (2.12e-1)"	"unprognostic (7.43e-2)"	"unprognostic (3.45e-1)"	"unprognostic (1.07e-2)"	"unprognostic (2.08e-1)"	"validated prognostic unfavorable (4.26e-8)"	"validated prognostic unfavorable (5.82e-7)"	"unprognostic (2.20e-1)"	"validated prognostic unfavorable (8.76e-6)"	"validated prognostic unfavorable (1.04e-4)"	"unprognostic (5.29e-2)"	"potential prognostic unfavorable (3.44e-4)"	"unprognostic (6.74e-2)"	"unprognostic (1.30e-1)"	"unprognostic (2.97e-1)"	"unprognostic (8.90e-2)"	"unprognostic (1.43e-2)"	"unprognostic (1.31e-2)"	"unprognostic (5.38e-2)"	"unprognostic (1.04e-1)"	"unprognostic (9.92e-2)"	"unprognostic (3.01e-1)"	"unprognostic (3.64e-1)"	"unprognostic (4.98e-1)"	"unprognostic (5.89e-2)"	"unprognostic (8.16e-2)"
DOCK5	FLJ21034	ENSG00000147459	"Dedicator of cytokinesis 5"	Q9H7D0	8	25184689-25418082	"Predicted intracellular proteins"		"Guanine-nucleotide releasing factor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enriched"	"Detected in many"	5	"Oligodendrocytes: 734.9"	"Cell type enhanced"	"Detected in all"		"choroid plexus epithelial cell: 920.8;oligodendrocyte: 1478.7"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"neutrophil: 30.7"	"Lineage enriched"	"Detected in many"	4	"granulocytes: 30.7"	"Low cancer specificity"	"Detected in all"			"Minor Salivary Gland - Minor salivary glandular cells, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA017719, HPA056837"	Approved		Enhanced	Cytosol			No	No			"Cluster 35: Neutrophils - Protein binding"	"Cluster 81: Lymphoid tissue & Bone marrow - Innate immune response"	"Cluster 11: White matter - Signal transduction"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 51: Oligodendrocytes - Unknown function"	28	Cytosol		"HPA017719: AB_1847820, HPA056837: AB_2683253"	"unprognostic (1.24e-1)"	"unprognostic (3.27e-1)"	"unprognostic (4.79e-2)"	"unprognostic (1.94e-2)"	"unprognostic (1.99e-2)"	"unprognostic (1.36e-1)"	"unprognostic (1.14e-1)"	"unprognostic (5.13e-2)"	"unprognostic (1.14e-1)"	"unprognostic (3.01e-3)"	"unprognostic (9.02e-2)"	"unprognostic (9.69e-2)"	"unprognostic (3.82e-2)"	"unprognostic (3.12e-2)"	"unprognostic (1.05e-2)"	"potential prognostic unfavorable (4.36e-4)"	"unprognostic (2.29e-1)"	"unprognostic (2.01e-2)"	"unprognostic (1.46e-1)"	"unprognostic (1.15e-1)"	"unprognostic (8.82e-2)"	"potential prognostic unfavorable (8.42e-4)"	"unprognostic (1.35e-3)"	"unprognostic (2.02e-1)"	"unprognostic (5.84e-2)"	"unprognostic (3.87e-2)"	"unprognostic (4.65e-2)"	"unprognostic (2.97e-1)"	"unprognostic (2.55e-1)"	"unprognostic (1.29e-3)"	"unprognostic (3.13e-2)"
DOK3	FLJ22570	ENSG00000146094	"Docking protein 3"	Q7L591	5	177501904-177511274	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"bone marrow: 92.6;lymphoid tissue: 115.6"	"Group enriched"	"Detected in some"	6	"B-cells: 31.1;granulocytes: 23.5;Hofbauer cells: 57.9;Kupffer cells: 45.6;Macrophages: 35.3;monocytes: 53.8;Plasma cells: 39.7"	"Cell type enhanced"	"Detected in many"		"central nervous system macrophage: 37.8"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"neutrophil: 134.3"	"Group enriched"	"Detected in many"	6	"B-cells: 37.3;granulocytes: 134.3;monocytes: 78.1"	"Group enriched"	"Detected in all"	6	"Leukemia: 72.6;lymphoma: 95.9;Myeloma: 24.7"	"Adipose subcutaneous - Macrophages, Adrenal gland - Macrophages, Breast - Macrophages, Kidney - Macrophages, Lung - Neutrophil_2, Spleen - Neutrophils, Stomach - Macrophages, Thyroid gland - Macrophages"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			HPA077312	Enhanced		Supported	"Nucleoplasm,Plasma membrane,Cytokinetic bridge,Cytosol"			Yes	NA		140000	"Cluster 37: Monocytes & Neutrophils - Innate immune response"	"Cluster 81: Lymphoid tissue & Bone marrow - Innate immune response"	"Cluster 49: Hindbrain - Mixed function"	"Cluster 6: Leukemia - Signal transduction"	"Cluster 74: Neutrophils - Degranulation"	8	"Plasma membrane"	"Nucleoplasm, Cytokinetic bridge, Cytosol"	"HPA077312: AB_2732339"	"unprognostic (2.77e-3)"	"unprognostic (7.49e-2)"	"unprognostic (6.01e-2)"	"unprognostic (2.17e-1)"	"unprognostic (7.50e-2)"	"unprognostic (9.46e-2)"	"unprognostic (2.30e-3)"	"unprognostic (3.60e-1)"	"unprognostic (1.56e-3)"	"unprognostic (1.19e-2)"	"potential prognostic unfavorable (8.04e-5)"	"unprognostic (6.49e-2)"	"unprognostic (1.71e-1)"	"unprognostic (2.12e-2)"	"unprognostic (2.94e-2)"	"unprognostic (4.48e-2)"	"unprognostic (7.96e-2)"	"unprognostic (1.87e-1)"	"unprognostic (1.59e-1)"	"unprognostic (3.20e-1)"	"unprognostic (6.09e-2)"	"unprognostic (1.12e-2)"	"unprognostic (2.27e-2)"	"unprognostic (7.14e-2)"	"unprognostic (2.44e-2)"	"unprognostic (2.27e-1)"	"unprognostic (2.04e-2)"	"unprognostic (1.74e-1)"	"unprognostic (1.06e-1)"	"unprognostic (2.65e-1)"	"unprognostic (6.82e-2)"
DOK4	FLJ10488	ENSG00000125170	"Docking protein 4"	Q8TEW6	16	57471922-57487327	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Distal enterocytes: 98.3;Paneth cells: 70.4;Proximal enterocytes: 88.3;Proximal tubular cells: 43.4"	"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in single"		"neutrophil: 1.3"	"Low lineage specificity"	"Detected in single"			"Cancer enhanced"	"Detected in all"		"Neuroblastoma: 186.7"	"Stomach - Gastric mucous cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA008348, HPA055849"	Supported		Approved	Cytosol			NA	No			"Cluster 35: Neutrophils - Protein binding"	"Cluster 45: Intestine - Digestion"	"Cluster 1: Neurons - Mixed function"	"Cluster 17: Neuroblastoma - Neuronal signaling"	"Cluster 5: Enterocytes - Absorption"	28	Cytosol		"HPA008348: , HPA055849: AB_2682942"	"unprognostic (8.59e-3)"	"unprognostic (5.36e-3)"	"unprognostic (3.09e-1)"	"unprognostic (1.81e-2)"	"unprognostic (1.00e-1)"	"unprognostic (9.48e-2)"	"unprognostic (1.52e-1)"	"unprognostic (5.29e-3)"	"unprognostic (8.53e-2)"	"unprognostic (2.59e-1)"	"unprognostic (1.09e-3)"	"unprognostic (1.07e-1)"	"potential prognostic favorable (7.86e-5)"	"unprognostic (7.08e-2)"	"unprognostic (2.90e-2)"	"unprognostic (1.61e-2)"	"unprognostic (1.28e-1)"	"unprognostic (2.00e-2)"	"unprognostic (1.92e-1)"	"unprognostic (1.94e-2)"	"unprognostic (2.81e-2)"	"unprognostic (1.23e-2)"	"unprognostic (1.01e-1)"	"unprognostic (4.51e-2)"	"unprognostic (2.03e-1)"	"unprognostic (5.08e-3)"	"unprognostic (4.83e-2)"	"unprognostic (3.21e-2)"	"unprognostic (1.79e-1)"	"unprognostic (1.74e-2)"	"unprognostic (2.17e-1)"
