gene_name	gencode_protein_id	gencode_transcript_id	gencode_length	uniprot_id	uniprot_entry_name	uniprot_protein_name	uniprot_length	length_difference	function	subcellular_location	go_bp_count	go_mf_count	keywords_count	domains_count
RPH3A	ENSP00000440384.2	ENST00000543106.6	694	Q9Y2J0	RP3A_HUMAN	Rabphilin-3A	694	0	Plays an essential role in docking and fusion steps of regulated exocytosis (By similarity). At the presynaptic level, RPH3A is recruited by RAB3A to the synaptic vesicle membrane in a GTP-dependent manner where it modulates synaptic vesicle trafficking and calcium-triggered neurotransmitter release (By similarity). In the post-synaptic compartment, forms a ternary complex with GRIN2A and DLG4 and regulates NMDA receptor stability. Also plays a role in the exocytosis of arginine vasopressin horm...	Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane; Cell projection, dendritic spine; Postsynaptic cell membrane; Membrane	0	0	20	3
RPH3A	ENSP00000446780.1	ENST00000551593.5	181	Q9Y2J0	RP3A_HUMAN	Rabphilin-3A	694	513	Plays an essential role in docking and fusion steps of regulated exocytosis (By similarity). At the presynaptic level, RPH3A is recruited by RAB3A to the synaptic vesicle membrane in a GTP-dependent manner where it modulates synaptic vesicle trafficking and calcium-triggered neurotransmitter release (By similarity). In the post-synaptic compartment, forms a ternary complex with GRIN2A and DLG4 and regulates NMDA receptor stability. Also plays a role in the exocytosis of arginine vasopressin horm...	Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane; Cell projection, dendritic spine; Postsynaptic cell membrane; Membrane	0	0	20	3
RPH3A	ENSP00000447639.1	ENST00000546426.5	12	Q9Y2J0	RP3A_HUMAN	Rabphilin-3A	694	682	Plays an essential role in docking and fusion steps of regulated exocytosis (By similarity). At the presynaptic level, RPH3A is recruited by RAB3A to the synaptic vesicle membrane in a GTP-dependent manner where it modulates synaptic vesicle trafficking and calcium-triggered neurotransmitter release (By similarity). In the post-synaptic compartment, forms a ternary complex with GRIN2A and DLG4 and regulates NMDA receptor stability. Also plays a role in the exocytosis of arginine vasopressin horm...	Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane; Cell projection, dendritic spine; Postsynaptic cell membrane; Membrane	0	0	20	3
RPH3A	ENSP00000447306.1	ENST00000551748.5	94	Q9Y2J0	RP3A_HUMAN	Rabphilin-3A	694	600	Plays an essential role in docking and fusion steps of regulated exocytosis (By similarity). At the presynaptic level, RPH3A is recruited by RAB3A to the synaptic vesicle membrane in a GTP-dependent manner where it modulates synaptic vesicle trafficking and calcium-triggered neurotransmitter release (By similarity). In the post-synaptic compartment, forms a ternary complex with GRIN2A and DLG4 and regulates NMDA receptor stability. Also plays a role in the exocytosis of arginine vasopressin horm...	Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane; Cell projection, dendritic spine; Postsynaptic cell membrane; Membrane	0	0	20	3
RPH3A	ENSP00000446556.1	ENST00000546703.5	83	Q9Y2J0	RP3A_HUMAN	Rabphilin-3A	694	611	Plays an essential role in docking and fusion steps of regulated exocytosis (By similarity). At the presynaptic level, RPH3A is recruited by RAB3A to the synaptic vesicle membrane in a GTP-dependent manner where it modulates synaptic vesicle trafficking and calcium-triggered neurotransmitter release (By similarity). In the post-synaptic compartment, forms a ternary complex with GRIN2A and DLG4 and regulates NMDA receptor stability. Also plays a role in the exocytosis of arginine vasopressin horm...	Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane; Cell projection, dendritic spine; Postsynaptic cell membrane; Membrane	0	0	20	3
RPH3A	ENSP00000450382.1	ENST00000547840.5	127	Q9Y2J0	RP3A_HUMAN	Rabphilin-3A	694	567	Plays an essential role in docking and fusion steps of regulated exocytosis (By similarity). At the presynaptic level, RPH3A is recruited by RAB3A to the synaptic vesicle membrane in a GTP-dependent manner where it modulates synaptic vesicle trafficking and calcium-triggered neurotransmitter release (By similarity). In the post-synaptic compartment, forms a ternary complex with GRIN2A and DLG4 and regulates NMDA receptor stability. Also plays a role in the exocytosis of arginine vasopressin horm...	Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane; Cell projection, dendritic spine; Postsynaptic cell membrane; Membrane	0	0	20	3
RPH3A	ENSP00000449613.1	ENST00000547728.5	163	Q9Y2J0	RP3A_HUMAN	Rabphilin-3A	694	531	Plays an essential role in docking and fusion steps of regulated exocytosis (By similarity). At the presynaptic level, RPH3A is recruited by RAB3A to the synaptic vesicle membrane in a GTP-dependent manner where it modulates synaptic vesicle trafficking and calcium-triggered neurotransmitter release (By similarity). In the post-synaptic compartment, forms a ternary complex with GRIN2A and DLG4 and regulates NMDA receptor stability. Also plays a role in the exocytosis of arginine vasopressin horm...	Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane; Cell projection, dendritic spine; Postsynaptic cell membrane; Membrane	0	0	20	3
RPH3A	ENSP00000447505.1	ENST00000549769.5	115	Q9Y2J0	RP3A_HUMAN	Rabphilin-3A	694	579	Plays an essential role in docking and fusion steps of regulated exocytosis (By similarity). At the presynaptic level, RPH3A is recruited by RAB3A to the synaptic vesicle membrane in a GTP-dependent manner where it modulates synaptic vesicle trafficking and calcium-triggered neurotransmitter release (By similarity). In the post-synaptic compartment, forms a ternary complex with GRIN2A and DLG4 and regulates NMDA receptor stability. Also plays a role in the exocytosis of arginine vasopressin horm...	Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane; Cell projection, dendritic spine; Postsynaptic cell membrane; Membrane	0	0	20	3
RPH3A	ENSP00000449650.1	ENST00000552667.5	120	Q9Y2J0	RP3A_HUMAN	Rabphilin-3A	694	574	Plays an essential role in docking and fusion steps of regulated exocytosis (By similarity). At the presynaptic level, RPH3A is recruited by RAB3A to the synaptic vesicle membrane in a GTP-dependent manner where it modulates synaptic vesicle trafficking and calcium-triggered neurotransmitter release (By similarity). In the post-synaptic compartment, forms a ternary complex with GRIN2A and DLG4 and regulates NMDA receptor stability. Also plays a role in the exocytosis of arginine vasopressin horm...	Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane; Cell projection, dendritic spine; Postsynaptic cell membrane; Membrane	0	0	20	3
RPH3A	ENSP00000374036.4	ENST00000389385.9	694	Q9Y2J0	RP3A_HUMAN	Rabphilin-3A	694	0	Plays an essential role in docking and fusion steps of regulated exocytosis (By similarity). At the presynaptic level, RPH3A is recruited by RAB3A to the synaptic vesicle membrane in a GTP-dependent manner where it modulates synaptic vesicle trafficking and calcium-triggered neurotransmitter release (By similarity). In the post-synaptic compartment, forms a ternary complex with GRIN2A and DLG4 and regulates NMDA receptor stability. Also plays a role in the exocytosis of arginine vasopressin horm...	Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane; Cell projection, dendritic spine; Postsynaptic cell membrane; Membrane	0	0	20	3
RPH3A	ENSP00000448100.1	ENST00000550901.5	80	Q9Y2J0	RP3A_HUMAN	Rabphilin-3A	694	614	Plays an essential role in docking and fusion steps of regulated exocytosis (By similarity). At the presynaptic level, RPH3A is recruited by RAB3A to the synaptic vesicle membrane in a GTP-dependent manner where it modulates synaptic vesicle trafficking and calcium-triggered neurotransmitter release (By similarity). In the post-synaptic compartment, forms a ternary complex with GRIN2A and DLG4 and regulates NMDA receptor stability. Also plays a role in the exocytosis of arginine vasopressin horm...	Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane; Cell projection, dendritic spine; Postsynaptic cell membrane; Membrane	0	0	20	3
RPH3A	ENSP00000447083.1	ENST00000551198.5	125	Q9Y2J0	RP3A_HUMAN	Rabphilin-3A	694	569	Plays an essential role in docking and fusion steps of regulated exocytosis (By similarity). At the presynaptic level, RPH3A is recruited by RAB3A to the synaptic vesicle membrane in a GTP-dependent manner where it modulates synaptic vesicle trafficking and calcium-triggered neurotransmitter release (By similarity). In the post-synaptic compartment, forms a ternary complex with GRIN2A and DLG4 and regulates NMDA receptor stability. Also plays a role in the exocytosis of arginine vasopressin horm...	Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane; Cell projection, dendritic spine; Postsynaptic cell membrane; Membrane	0	0	20	3
RPH3A	ENSP00000448297.1	ENST00000551052.5	690	Q9Y2J0	RP3A_HUMAN	Rabphilin-3A	694	4	Plays an essential role in docking and fusion steps of regulated exocytosis (By similarity). At the presynaptic level, RPH3A is recruited by RAB3A to the synaptic vesicle membrane in a GTP-dependent manner where it modulates synaptic vesicle trafficking and calcium-triggered neurotransmitter release (By similarity). In the post-synaptic compartment, forms a ternary complex with GRIN2A and DLG4 and regulates NMDA receptor stability. Also plays a role in the exocytosis of arginine vasopressin horm...	Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane; Cell projection, dendritic spine; Postsynaptic cell membrane; Membrane	0	0	20	3
RPH3A	ENSP00000405357.3	ENST00000415485.7	694	Q9Y2J0	RP3A_HUMAN	Rabphilin-3A	694	0	Plays an essential role in docking and fusion steps of regulated exocytosis (By similarity). At the presynaptic level, RPH3A is recruited by RAB3A to the synaptic vesicle membrane in a GTP-dependent manner where it modulates synaptic vesicle trafficking and calcium-triggered neurotransmitter release (By similarity). In the post-synaptic compartment, forms a ternary complex with GRIN2A and DLG4 and regulates NMDA receptor stability. Also plays a role in the exocytosis of arginine vasopressin horm...	Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane; Cell projection, dendritic spine; Postsynaptic cell membrane; Membrane	0	0	20	3
RPH3A	ENSP00000450216.1	ENST00000553114.5	133	Q9Y2J0	RP3A_HUMAN	Rabphilin-3A	694	561	Plays an essential role in docking and fusion steps of regulated exocytosis (By similarity). At the presynaptic level, RPH3A is recruited by RAB3A to the synaptic vesicle membrane in a GTP-dependent manner where it modulates synaptic vesicle trafficking and calcium-triggered neurotransmitter release (By similarity). In the post-synaptic compartment, forms a ternary complex with GRIN2A and DLG4 and regulates NMDA receptor stability. Also plays a role in the exocytosis of arginine vasopressin horm...	Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane; Cell projection, dendritic spine; Postsynaptic cell membrane; Membrane	0	0	20	3
RPH3A	ENSP00000450347.1	ENST00000548866.5	645	Q9Y2J0	RP3A_HUMAN	Rabphilin-3A	694	49	Plays an essential role in docking and fusion steps of regulated exocytosis (By similarity). At the presynaptic level, RPH3A is recruited by RAB3A to the synaptic vesicle membrane in a GTP-dependent manner where it modulates synaptic vesicle trafficking and calcium-triggered neurotransmitter release (By similarity). In the post-synaptic compartment, forms a ternary complex with GRIN2A and DLG4 and regulates NMDA receptor stability. Also plays a role in the exocytosis of arginine vasopressin horm...	Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane; Cell projection, dendritic spine; Postsynaptic cell membrane; Membrane	0	0	20	3
SLCO4C1	ENSP00000309741.6	ENST00000310954.7	724	Q6ZQN7	SO4C1_HUMAN	Solute carrier organic anion transporter family member 4C1	724	0	Mediates the transport of organic anions such as steroids (estrone 3-sulfate, chenodeoxycholate, glycocholate) and thyroid hormones (3,3',5-triiodo-L-thyronine (T3), L-thyroxine (T4)), in the kidney (PubMed:14993604, PubMed:19129463, PubMed:20610891). Capable of transporting cAMP and pharmacological substances such as digoxin, ouabain and methotrexate (PubMed:14993604). Transport is independent of sodium, chloride ion, and ATP (PubMed:14993604). Transport activity is stimulated by an acidic extr...	Basolateral cell membrane	0	0	13	1
SPINK8	ENSP00000407497.1	ENST00000434006.3	97	P0C7L1	ISK8_HUMAN	Serine protease inhibitor Kazal-type 8	97	0	Probable serine protease inhibitor	Secreted	0	0	8	1
STX3	ENSP00000493027.1	ENST00000641815.1	258	Q13277	STX3_HUMAN	Syntaxin-3	289	31	Functions as a regulator of gene expression	Nucleus	0	0	12	1
STX3	ENSP00000338562.4	ENST00000337979.9	289	Q13277	STX3_HUMAN	Syntaxin-3	289	0	Functions as a regulator of gene expression	Nucleus	0	0	12	1
STX3	ENSP00000487790.1	ENST00000633708.1	287	Q13277	STX3_HUMAN	Syntaxin-3	289	2	Functions as a regulator of gene expression	Nucleus	0	0	12	1
STX3	ENSP00000433248.1	ENST00000529177.5	277	Q13277	STX3_HUMAN	Syntaxin-3	289	12	Functions as a regulator of gene expression	Nucleus	0	0	12	1
STX3	ENSP00000431386.1	ENST00000528805.1	204	Q13277	STX3_HUMAN	Syntaxin-3	289	85	Functions as a regulator of gene expression	Nucleus	0	0	12	1
STX3	ENSP00000434836.1	ENST00000530221.1	76	Q13277	STX3_HUMAN	Syntaxin-3	289	213	Functions as a regulator of gene expression	Nucleus	0	0	12	1
TMEM252	ENSP00000366528.4	ENST00000377311.4	170	Q8N6L7	TM252_HUMAN	Transmembrane protein 252	170	0		Membrane	0	0	4	0
TRPM6	ENSP00000354962.3	ENST00000361255.7	2017	Q9BX84	TRPM6_HUMAN	Transient receptor potential cation channel subfamily M member 6	2022	5	The C-terminal kinase domain can be cleaved from the channel segment in a cell-type-specific fashion. The cleaved kinase fragments can translocate to the nucleus, and bind chromatin-remodeling complex proteins to ultimately phosphorylate specific Ser/Thr residues of histones known to be functionally important for cell differentiation and development	Nucleus	0	0	24	1
TRPM6	ENSP00000396672.2	ENST00000449912.6	2017	Q9BX84	TRPM6_HUMAN	Transient receptor potential cation channel subfamily M member 6	2022	5	The C-terminal kinase domain can be cleaved from the channel segment in a cell-type-specific fashion. The cleaved kinase fragments can translocate to the nucleus, and bind chromatin-remodeling complex proteins to ultimately phosphorylate specific Ser/Thr residues of histones known to be functionally important for cell differentiation and development	Nucleus	0	0	24	1
TRPM6	ENSP00000354006.1	ENST00000360774.6	2022	Q9BX84	TRPM6_HUMAN	Transient receptor potential cation channel subfamily M member 6	2022	0	The C-terminal kinase domain can be cleaved from the channel segment in a cell-type-specific fashion. The cleaved kinase fragments can translocate to the nucleus, and bind chromatin-remodeling complex proteins to ultimately phosphorylate specific Ser/Thr residues of histones known to be functionally important for cell differentiation and development	Nucleus	0	0	24	1
TRPM6	ENSP00000351942.2	ENST00000359047.2	303	Q9BX84	TRPM6_HUMAN	Transient receptor potential cation channel subfamily M member 6	2022	1719	The C-terminal kinase domain can be cleaved from the channel segment in a cell-type-specific fashion. The cleaved kinase fragments can translocate to the nucleus, and bind chromatin-remodeling complex proteins to ultimately phosphorylate specific Ser/Thr residues of histones known to be functionally important for cell differentiation and development	Nucleus	0	0	24	1
ALOX5AP	ENSP00000479870.1	ENST00000617770.4	218	A0A087WW23	A0A087WW23_HUMAN	Arachidonate 5-lipoxygenase-activating protein	218	0	Required for leukotriene biosynthesis by ALOX5 (5-lipoxygenase). Anchors ALOX5 to the membrane. Binds arachidonic acid, and could play an essential role in the transfer of arachidonic acid to ALOX5. Binds to MK-886, a compound that blocks the biosynthesis of leukotrienes	Nucleus membrane; Endoplasmic reticulum membrane	0	0	8	0
ALOX5AP	ENSP00000369858.3	ENST00000380490.5	161	P20292	AL5AP_HUMAN	Arachidonate 5-lipoxygenase-activating protein	161	0	Required for leukotriene biosynthesis by ALOX5 (5-lipoxygenase). Anchors ALOX5 to the membrane. Binds arachidonic acid, and could play an essential role in the transfer of arachidonic acid to ALOX5. Binds to MK-886, a compound that blocks the biosynthesis of leukotrienes	Nucleus membrane; Endoplasmic reticulum membrane	0	0	9	0
AP5B1	ENSP00000454303.1	ENST00000532090.3	878	Q2VPB7	AP5B1_HUMAN	AP-5 complex subunit beta-1	878	0	As part of AP-5, a probable fifth adaptor protein complex it may be involved in endosomal transport		0	0	4	0
ARG1	ENSP00000499826.1	ENST00000672233.1	304	P05089	ARGI1_HUMAN	Arginase-1	322	18	Functions in L-arginine homeostasis in nonhepatic tissues characterized by the competition between nitric oxide synthase (NOS) and arginase for the available intracellular substrate arginine. Arginine metabolism is a critical regulator of innate and adaptive immune responses. Involved in an antimicrobial effector pathway in polymorphonuclear granulocytes (PMN). Upon PMN cell death is liberated from the phagolysosome and depletes arginine in the microenvironment leading to suppressed T cell and n...	Cytoplasm; Cytoplasmic granule	0	0	15	0
ARG1	ENSP00000349446.2	ENST00000356962.2	330	P05089	ARGI1_HUMAN	Arginase-1	322	8	Functions in L-arginine homeostasis in nonhepatic tissues characterized by the competition between nitric oxide synthase (NOS) and arginase for the available intracellular substrate arginine. Arginine metabolism is a critical regulator of innate and adaptive immune responses. Involved in an antimicrobial effector pathway in polymorphonuclear granulocytes (PMN). Upon PMN cell death is liberated from the phagolysosome and depletes arginine in the microenvironment leading to suppressed T cell and n...	Cytoplasm; Cytoplasmic granule	0	0	15	0
ARG1	ENSP00000357066.3	ENST00000368087.8	322	P05089	ARGI1_HUMAN	Arginase-1	322	0	Functions in L-arginine homeostasis in nonhepatic tissues characterized by the competition between nitric oxide synthase (NOS) and arginase for the available intracellular substrate arginine. Arginine metabolism is a critical regulator of innate and adaptive immune responses. Involved in an antimicrobial effector pathway in polymorphonuclear granulocytes (PMN). Upon PMN cell death is liberated from the phagolysosome and depletes arginine in the microenvironment leading to suppressed T cell and n...	Cytoplasm; Cytoplasmic granule	0	0	15	0
ARG1	ENSP00000500160.1	ENST00000673427.1	237	P05089	ARGI1_HUMAN	Arginase-1	322	85	Functions in L-arginine homeostasis in nonhepatic tissues characterized by the competition between nitric oxide synthase (NOS) and arginase for the available intracellular substrate arginine. Arginine metabolism is a critical regulator of innate and adaptive immune responses. Involved in an antimicrobial effector pathway in polymorphonuclear granulocytes (PMN). Upon PMN cell death is liberated from the phagolysosome and depletes arginine in the microenvironment leading to suppressed T cell and n...	Cytoplasm; Cytoplasmic granule	0	0	15	0
ARHGAP28	ENSP00000372964.4	ENST00000383472.9	729	Q9P2N2	RHG28_HUMAN	Rho GTPase-activating protein 28	729	0	GTPase activator for the Rho-type GTPases by converting them to an inactive GDP-bound state		0	0	5	1
ARHGAP28	ENSP00000464141.1	ENST00000583410.1	73	E9PMX7	E9PMX7_HUMAN		565	492	GTPase activator for the Rho-type GTPases by converting them to an inactive GDP-bound state		0	0	3	1
ARHGAP28	ENSP00000462831.1	ENST00000584387.1	137	E9PMX7	E9PMX7_HUMAN		565	428	GTPase activator for the Rho-type GTPases by converting them to an inactive GDP-bound state		0	0	3	1
ARHGAP28	ENSP00000433390.1	ENST00000532723.5	117	E9PMX7	E9PMX7_HUMAN		565	448	GTPase activator for the Rho-type GTPases by converting them to an inactive GDP-bound state		0	0	3	1
ARHGAP28	ENSP00000262227.3	ENST00000262227.7	670	Q9P2N2	RHG28_HUMAN	Rho GTPase-activating protein 28	729	59	GTPase activator for the Rho-type GTPases by converting them to an inactive GDP-bound state		0	0	5	1
ARHGAP28	ENSP00000462912.1	ENST00000581099.5	111	E9PMX7	E9PMX7_HUMAN		565	454	GTPase activator for the Rho-type GTPases by converting them to an inactive GDP-bound state		0	0	3	1
ARHGAP28	ENSP00000392660.2	ENST00000419673.6	570	E9PMX7	E9PMX7_HUMAN		565	5	GTPase activator for the Rho-type GTPases by converting them to an inactive GDP-bound state		0	0	3	1
ARHGAP28	ENSP00000437262.1	ENST00000531294.5	565	E9PMX7	E9PMX7_HUMAN		565	0	GTPase activator for the Rho-type GTPases by converting them to an inactive GDP-bound state		0	0	3	1
ARHGAP28	ENSP00000313506.3	ENST00000314319.7	570	E9PMX7	E9PMX7_HUMAN		565	5	GTPase activator for the Rho-type GTPases by converting them to an inactive GDP-bound state		0	0	3	1
ARHGAP28	ENSP00000435990.1	ENST00000532996.5	545	E9PMX7	E9PMX7_HUMAN		565	20	GTPase activator for the Rho-type GTPases by converting them to an inactive GDP-bound state		0	0	3	1
ARHGAP28	ENSP00000463143.1	ENST00000579689.1	202	E9PMX7	E9PMX7_HUMAN		565	363	GTPase activator for the Rho-type GTPases by converting them to an inactive GDP-bound state		0	0	3	1
CBS	ENSP00000381225.1	ENST00000398158.5	551	P35520	CBS_HUMAN	Cystathionine beta-synthase	551	0	Hydro-lyase catalyzing the first step of the transsulfuration pathway, where the hydroxyl group of L-serine is displaced by L-homocysteine in a beta-replacement reaction to form L-cystathionine, the precursor of L-cysteine. This catabolic route allows the elimination of L-methionine and the toxic metabolite L-homocysteine (PubMed:20506325, PubMed:23974653, PubMed:23981774). Also involved in the production of hydrogen sulfide, a gasotransmitter with signaling and cytoprotective effects on neurons...	Cytoplasm; Nucleus	0	0	19	1
CBS	ENSP00000381231.4	ENST00000398165.8	551	P35520	CBS_HUMAN	Cystathionine beta-synthase	551	0	Hydro-lyase catalyzing the first step of the transsulfuration pathway, where the hydroxyl group of L-serine is displaced by L-homocysteine in a beta-replacement reaction to form L-cystathionine, the precursor of L-cysteine. This catabolic route allows the elimination of L-methionine and the toxic metabolite L-homocysteine (PubMed:20506325, PubMed:23974653, PubMed:23981774). Also involved in the production of hydrogen sulfide, a gasotransmitter with signaling and cytoprotective effects on neurons...	Cytoplasm; Nucleus	0	0	19	1
CBS	ENSP00000352643.3	ENST00000359624.7	551	P35520	CBS_HUMAN	Cystathionine beta-synthase	551	0	Hydro-lyase catalyzing the first step of the transsulfuration pathway, where the hydroxyl group of L-serine is displaced by L-homocysteine in a beta-replacement reaction to form L-cystathionine, the precursor of L-cysteine. This catabolic route allows the elimination of L-methionine and the toxic metabolite L-homocysteine (PubMed:20506325, PubMed:23974653, PubMed:23981774). Also involved in the production of hydrogen sulfide, a gasotransmitter with signaling and cytoprotective effects on neurons...	Cytoplasm; Nucleus	0	0	19	1
CBS	ENSP00000344460.5	ENST00000352178.9	551	P35520	CBS_HUMAN	Cystathionine beta-synthase	551	0	Hydro-lyase catalyzing the first step of the transsulfuration pathway, where the hydroxyl group of L-serine is displaced by L-homocysteine in a beta-replacement reaction to form L-cystathionine, the precursor of L-cysteine. This catabolic route allows the elimination of L-methionine and the toxic metabolite L-homocysteine (PubMed:20506325, PubMed:23974653, PubMed:23981774). Also involved in the production of hydrogen sulfide, a gasotransmitter with signaling and cytoprotective effects on neurons...	Cytoplasm; Nucleus	0	0	19	1
CBS	ENSP00000402823.1	ENST00000451248.5	149	Q9Y3D2	MSRB2_HUMAN	Methionine-R-sulfoxide reductase B2, mitochondrial	182	33	Methionine-sulfoxide reductase that specifically reduces methionine (R)-sulfoxide back to methionine. While in many cases, methionine oxidation is the result of random oxidation following oxidative stress, methionine oxidation is also a post-translational modification that takes place on specific residue. Upon oxidative stress, may play a role in the preservation of mitochondrial integrity by decreasing the intracellular reactive oxygen species build-up through its scavenging role, hence contrib...	Mitochondrion	0	0	7	1
CBS	ENSP00000408014.1	ENST00000458223.5	159	Q9Y3D2	MSRB2_HUMAN	Methionine-R-sulfoxide reductase B2, mitochondrial	182	23	Methionine-sulfoxide reductase that specifically reduces methionine (R)-sulfoxide back to methionine. While in many cases, methionine oxidation is the result of random oxidation following oxidative stress, methionine oxidation is also a post-translational modification that takes place on specific residue. Upon oxidative stress, may play a role in the preservation of mitochondrial integrity by decreasing the intracellular reactive oxygen species build-up through its scavenging role, hence contrib...	Mitochondrion	0	0	7	1
CBS	ENSP00000405929.1	ENST00000430013.1	224	Q9Y3D2	MSRB2_HUMAN	Methionine-R-sulfoxide reductase B2, mitochondrial	182	42	Methionine-sulfoxide reductase that specifically reduces methionine (R)-sulfoxide back to methionine. While in many cases, methionine oxidation is the result of random oxidation following oxidative stress, methionine oxidation is also a post-translational modification that takes place on specific residue. Upon oxidative stress, may play a role in the preservation of mitochondrial integrity by decreasing the intracellular reactive oxygen species build-up through its scavenging role, hence contrib...	Mitochondrion	0	0	7	1
CBS	ENSP00000388235.1	ENST00000441030.5	177	Q9Y3D2	MSRB2_HUMAN	Methionine-R-sulfoxide reductase B2, mitochondrial	182	5	Methionine-sulfoxide reductase that specifically reduces methionine (R)-sulfoxide back to methionine. While in many cases, methionine oxidation is the result of random oxidation following oxidative stress, methionine oxidation is also a post-translational modification that takes place on specific residue. Upon oxidative stress, may play a role in the preservation of mitochondrial integrity by decreasing the intracellular reactive oxygen species build-up through its scavenging role, hence contrib...	Mitochondrion	0	0	7	1
CEACAM4	ENSP00000221954.2	ENST00000221954.7	244	O75871	CEAM4_HUMAN	Cell adhesion molecule CEACAM4	244	0	Granulocyte orphan receptor that acts as an trigger efficient phagocytosis of attached particles	Membrane	0	0	8	1
CEACAM4	ENSP00000473018.1	ENST00000600925.1	254	O75871	CEAM4_HUMAN	Cell adhesion molecule CEACAM4	244	10	Granulocyte orphan receptor that acts as an trigger efficient phagocytosis of attached particles	Membrane	0	0	8	1
CLDN10	ENSP00000366069.2	ENST00000376873.7	226	P78369	CLD10_HUMAN	Claudin-10	228	2	Forms anion-selective paracellular channels. In renal proximal tubules, it conveys selective chloride over hydrogencarbonate anion permeability which is required for renal chloride reabsorption and salt homeostasis	Cell junction, tight junction; Cell membrane	0	0	13	0
CLDN10	ENSP00000299339.2	ENST00000299339.3	228	P78369	CLD10_HUMAN	Claudin-10	228	0	Forms anion-selective paracellular channels. In renal proximal tubules, it conveys selective chloride over hydrogencarbonate anion permeability which is required for renal chloride reabsorption and salt homeostasis	Cell junction, tight junction; Cell membrane	0	0	13	0
CLDN10	ENSP00000366051.1	ENST00000376855.1	73	P78369	CLD10_HUMAN	Claudin-10	228	155	Forms anion-selective paracellular channels. In renal proximal tubules, it conveys selective chloride over hydrogencarbonate anion permeability which is required for renal chloride reabsorption and salt homeostasis	Cell junction, tight junction; Cell membrane	0	0	13	0
CLXN	ENSP00000429644.1	ENST00000523008.5	78	Q9HAE3	CLXN_HUMAN	Calaxin	211	133	Component of the outer dynein arm-docking complex (ODA-DC) that mediates outer dynein arms (ODA) binding onto the doublet microtubule. Seems to regulate the assembly of both ODAs and their axonemal docking complex onto ciliary microtubules (By similarity). Regulates ciliary and flagellar motility and is required for cilia-driven determination of body laterality (By similarity)	Cytoplasm, cytoskeleton, cilium axoneme; Cell projection, cilium; Cell projection, cilium, flagellum	0	0	16	3
CLXN	ENSP00000400873.1	ENST00000433756.1	159	Q9HAE3	CLXN_HUMAN	Calaxin	211	52	Component of the outer dynein arm-docking complex (ODA-DC) that mediates outer dynein arms (ODA) binding onto the doublet microtubule. Seems to regulate the assembly of both ODAs and their axonemal docking complex onto ciliary microtubules (By similarity). Regulates ciliary and flagellar motility and is required for cilia-driven determination of body laterality (By similarity)	Cytoplasm, cytoskeleton, cilium axoneme; Cell projection, cilium; Cell projection, cilium, flagellum	0	0	16	3
CLXN	ENSP00000262103.3	ENST00000262103.8	211	Q9HAE3	CLXN_HUMAN	Calaxin	211	0	Component of the outer dynein arm-docking complex (ODA-DC) that mediates outer dynein arms (ODA) binding onto the doublet microtubule. Seems to regulate the assembly of both ODAs and their axonemal docking complex onto ciliary microtubules (By similarity). Regulates ciliary and flagellar motility and is required for cilia-driven determination of body laterality (By similarity)	Cytoplasm, cytoskeleton, cilium axoneme; Cell projection, cilium; Cell projection, cilium, flagellum	0	0	16	3
CLXN	ENSP00000430940.1	ENST00000522254.5	129	Q9HAE3	CLXN_HUMAN	Calaxin	211	82	Component of the outer dynein arm-docking complex (ODA-DC) that mediates outer dynein arms (ODA) binding onto the doublet microtubule. Seems to regulate the assembly of both ODAs and their axonemal docking complex onto ciliary microtubules (By similarity). Regulates ciliary and flagellar motility and is required for cilia-driven determination of body laterality (By similarity)	Cytoplasm, cytoskeleton, cilium axoneme; Cell projection, cilium; Cell projection, cilium, flagellum	0	0	16	3
CLXN	ENSP00000430765.1	ENST00000523092.5	159	Q9HAE3	CLXN_HUMAN	Calaxin	211	52	Component of the outer dynein arm-docking complex (ODA-DC) that mediates outer dynein arms (ODA) binding onto the doublet microtubule. Seems to regulate the assembly of both ODAs and their axonemal docking complex onto ciliary microtubules (By similarity). Regulates ciliary and flagellar motility and is required for cilia-driven determination of body laterality (By similarity)	Cytoplasm, cytoskeleton, cilium axoneme; Cell projection, cilium; Cell projection, cilium, flagellum	0	0	16	3
ENSG00000265118	ENSP00000463981.2	ENST00000578584.5	171				0	0			0	0	0	0
ENSG00000265118	ENSP00000463745.1	ENST00000584948.1	117				0	0			0	0	0	0
